"","Date","Open","High","Low","Close","WAP","No. of Shares","No. of Trades","Total Turnover","Deliverable Quantity","% Deli. Qty to Traded Qty","Spread H-L","Spread C-O","securityname"
"356",2018-04-26,290.15,291.4,285,285.2,286.56,3952,163,1132490,2354,59.56,6.4,-4.95,"AEGIS LOGISTICS LTD."
"357",2018-04-25,287.85,292.9,286.1,290.1,290.17,14908,300,4325826,8758,58.75,6.8,2.25,"AEGIS LOGISTICS LTD."
"358",2018-04-24,289,295,288,289.1,291.25,29788,605,8675725,12118,40.68,7,0.1,"AEGIS LOGISTICS LTD."
"359",2018-04-23,278.6,286.85,278,286.35,282.2,24154,551,6816316,15118,62.59,8.85,7.75,"AEGIS LOGISTICS LTD."
"360",2018-04-20,282.85,283.55,279.25,280.15,280.69,2320,98,651191,1195,51.51,4.3,-2.7,"AEGIS LOGISTICS LTD."
"361",2018-04-19,283.55,286,282,284.5,283.89,5592,155,1587537,2951,52.77,4,0.95,"AEGIS LOGISTICS LTD."
"362",2018-04-18,287.65,287.65,282,282.85,284.25,9829,483,2793922,6017,61.22,5.65,-4.8,"AEGIS LOGISTICS LTD."
"363",2018-04-17,282.65,286.7,280,282,282.38,5983,200,1689493,2768,46.26,6.7,-0.65,"AEGIS LOGISTICS LTD."
"364",2018-04-16,280,286,277.25,282.55,280.97,9269,259,2604311,6648,71.72,8.75,2.55,"AEGIS LOGISTICS LTD."
"365",2018-04-13,282.75,284,280.9,281.45,281.78,7721,170,2175651,4789,62.03,3.1,-1.3,"AEGIS LOGISTICS LTD."
"366",2018-04-12,282.9,283.3,280.15,281,281.74,5545,172,1562249,1973,35.58,3.15,-1.9,"AEGIS LOGISTICS LTD."
"367",2018-04-11,282,287.7,278.2,281.8,283.17,12158,403,3442806,4154,34.17,9.5,-0.2,"AEGIS LOGISTICS LTD."
"368",2018-04-10,284,287,282,282.75,283.88,5376,171,1526126,1942,36.12,5,-1.25,"AEGIS LOGISTICS LTD."
"369",2018-04-09,285.75,286.95,279.35,281.6,282.64,10366,519,2929814,5158,49.76,7.6,-4.15,"AEGIS LOGISTICS LTD."
"370",2018-04-06,270,284.7,268.75,282,278.66,15888,458,4427362,5519,34.74,15.95,12,"AEGIS LOGISTICS LTD."
"371",2018-04-05,259,271.45,259,270.6,266.98,20508,673,5475312,11655,56.83,12.45,11.6,"AEGIS LOGISTICS LTD."
"372",2018-04-04,264,265,254.95,256.95,261.01,8682,280,2266111,3991,45.97,10.05,-7.05,"AEGIS LOGISTICS LTD."
"373",2018-04-03,256,263.7,247,262.95,259.03,10579,306,2740306,5465,51.66,16.7,6.95,"AEGIS LOGISTICS LTD."
"374",2018-04-02,258.9,262,254.6,256.25,259.33,10270,326,2663304,6176,60.14,7.4,-2.65,"AEGIS LOGISTICS LTD."
"375",2018-03-28,263,263.85,255,258.85,259.47,9557,269,2479741,3850,40.28,8.85,-4.15,"AEGIS LOGISTICS LTD."
"376",2018-03-27,256.05,265,253.7,261.75,257.95,18655,582,4811996,8906,47.74,11.3,5.7,"AEGIS LOGISTICS LTD."
"377",2018-03-26,250.75,258,242.55,254.45,253.63,23423,575,5940726,15609,66.64,15.45,3.7,"AEGIS LOGISTICS LTD."
"378",2018-03-23,250.75,252.4,242.1,248.5,247.42,40386,1500,9992480,21291,52.72,10.3,-2.25,"AEGIS LOGISTICS LTD."
"379",2018-03-22,249.15,253.6,249,250.75,251.45,10417,250,2619373,5421,52.04,4.6,1.6,"AEGIS LOGISTICS LTD."
"380",2018-03-21,244,254,244,251.4,251.56,23831,1008,5994865,14004,58.76,10,7.4,"AEGIS LOGISTICS LTD."
"381",2018-03-20,243.8,249.05,243,246.15,246.19,14700,365,3619014,7761,52.8,6.05,2.35,"AEGIS LOGISTICS LTD."
"382",2018-03-19,257.95,259.4,242.8,245.2,246.89,25000,839,6172152,13378,53.51,16.6,-12.75,"AEGIS LOGISTICS LTD."
"383",2018-03-16,249.85,257.9,249.85,254.6,254.7,24828,661,6323730,9690,39.03,8.05,4.75,"AEGIS LOGISTICS LTD."
"384",2018-03-15,238,250.9,235.25,246.1,242.77,36592,748,8883364,16781,45.86,15.65,8.1,"AEGIS LOGISTICS LTD."
"385",2018-03-14,237,242.8,236.65,238.15,239.06,21180,393,5063224,8257,38.98,6.15,1.15,"AEGIS LOGISTICS LTD."
"386",2018-03-13,244.7,246.35,235.9,239.05,241.33,18527,536,4471206,9376,50.61,10.45,-5.65,"AEGIS LOGISTICS LTD."
"387",2018-03-12,243.3,248,240.55,242.25,244.71,18475,436,4521052,8978,48.6,7.45,-1.05,"AEGIS LOGISTICS LTD."
"388",2018-03-09,242.55,248,240,242.55,243.6,19945,684,4858609,5726,28.71,8,0,"AEGIS LOGISTICS LTD."
"389",2018-03-08,240,248.8,237.95,244.9,244.66,139413,2648,34108856,29772,21.36,10.85,4.9,"AEGIS LOGISTICS LTD."
"390",2018-03-07,235,236.15,226.7,228.7,231.1,15876,394,3669016,6349,39.99,9.45,-6.3,"AEGIS LOGISTICS LTD."
"391",2018-03-06,254.6,254.6,235,237.6,242.19,17352,367,4202423,9130,52.62,19.6,-17,"AEGIS LOGISTICS LTD."
"392",2018-03-05,248.1,249.15,243.35,245.1,246.51,14236,465,3509387,8164,57.35,5.8,-3,"AEGIS LOGISTICS LTD."
"393",2018-03-01,253.5,253.7,250,250.1,251.41,8830,214,2219984,3375,38.22,3.7,-3.4,"AEGIS LOGISTICS LTD."
"394",2018-02-28,253.75,254.8,251,252.3,252.75,5906,157,1492727,3214,54.42,3.8,-1.45,"AEGIS LOGISTICS LTD."
"395",2018-02-27,255.75,255.75,246,252.35,252.72,24066,356,6081959,11531,47.91,9.75,-3.4,"AEGIS LOGISTICS LTD."
"396",2018-02-26,254.3,255.45,251.1,253.25,253.13,18305,830,4633503,13114,71.64,4.35,-1.05,"AEGIS LOGISTICS LTD."
"397",2018-02-23,253,256.15,251.15,252.65,253.84,8134,172,2064711,4187,51.48,5,-0.35,"AEGIS LOGISTICS LTD."
"398",2018-02-22,253.65,257.95,251.15,251.9,253.7,6279,215,1592973,3017,48.05,6.8,-1.75,"AEGIS LOGISTICS LTD."
"399",2018-02-21,257.85,259.55,251,256.3,255.33,9345,209,2386067,2584,27.65,8.55,-1.55,"AEGIS LOGISTICS LTD."
"400",2018-02-20,262,263.4,255,257.3,259.17,7578,288,1963961,3527,46.54,8.4,-4.7,"AEGIS LOGISTICS LTD."
"401",2018-02-19,261.45,264,258.4,261.05,260.84,10269,370,2678595,5968,58.12,5.6,-0.4,"AEGIS LOGISTICS LTD."
"402",2018-02-16,271.05,274,260.75,263.8,269.56,10247,328,2762174,4890,47.72,13.25,-7.25,"AEGIS LOGISTICS LTD."
"403",2018-02-15,270,276.9,268.05,270.65,272.69,18167,550,4954019,7227,39.78,8.85,0.65,"AEGIS LOGISTICS LTD."
"404",2018-02-14,279,280,267,270.8,274.71,16782,471,4610139,4454,26.54,13,-8.2,"AEGIS LOGISTICS LTD."
"405",2018-02-12,262.5,279,260.6,274.35,270.3,26971,651,7290153,9873,36.61,18.4,11.85,"AEGIS LOGISTICS LTD."
"406",2018-02-09,262.95,266.6,256.5,261.85,262.41,19769,478,5187521,6812,34.46,10.1,-1.1,"AEGIS LOGISTICS LTD."
"407",2018-02-08,267,268.6,262,265.9,265.41,18133,440,4812595,5549,30.6,6.6,-1.1,"AEGIS LOGISTICS LTD."
"408",2018-02-07,272.65,275.9,261.7,264.8,268.6,32074,990,8615233,7247,22.59,14.2,-7.85,"AEGIS LOGISTICS LTD."
"409",2018-02-06,228.85,273,228.85,269.15,258.5,55117,1975,14247521,15009,27.23,44.15,40.3,"AEGIS LOGISTICS LTD."
"410",2018-02-05,258,263.95,245.7,256.15,251.51,40764,1283,10252582,10366,25.43,18.25,-1.85,"AEGIS LOGISTICS LTD."
